epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,508.258,0.67388,0.8947,1.11653,0.80461,0.49933,0.51504,0.30693,1.71577,1.88811,1.42383,3.00475e-05,3.00475e-05,3.00475e-05
52,520.84,0.85104,1.7856,1.41547,0.80461,0.49933,0.51504,0.30693,1.71577,1.88811,1.42383,3.00476e-05,3.00476e-05,3.00476e-05
53,534.701,0.87983,0.84648,1.28802,0.80461,0.49933,0.51504,0.30693,1.71577,1.88811,1.42383,3.00242e-05,3.00242e-05,3.00242e-05
54,546.127,0.83513,0.8937,1.17757,0.81417,0.4989,0.52206,0.29849,1.71094,1.94697,1.43256,2.99772e-05,2.99772e-05,2.99772e-05
55,557.872,0.77878,0.73124,1.18877,0.81417,0.4989,0.52206,0.29849,1.71094,1.94697,1.43256,2.99066e-05,2.99066e-05,2.99066e-05
56,572.797,0.85785,1.08986,1.28594,0.81417,0.4989,0.52206,0.29849,1.71094,1.94697,1.43256,2.98125e-05,2.98125e-05,2.98125e-05
57,584.505,0.72094,0.81166,1.12106,0.81341,0.41595,0.53031,0.30166,1.71312,1.962,1.43258,2.96948e-05,2.96948e-05,2.96948e-05
58,599.732,0.69968,0.87999,1.0966,0.81341,0.41595,0.53031,0.30166,1.71312,1.962,1.43258,2.95535e-05,2.95535e-05,2.95535e-05
59,610.915,0.64273,0.80439,1.08633,0.81341,0.41595,0.53031,0.30166,1.71312,1.962,1.43258,2.93887e-05,2.93887e-05,2.93887e-05
60,621.618,0.48178,0.84057,0.94381,0.83167,0.41657,0.52398,0.30381,1.7271,1.98153,1.43405,2.92003e-05,2.92003e-05,2.92003e-05
61,631.25,0.79371,0.81886,1.27033,0.83167,0.41657,0.52398,0.30381,1.7271,1.98153,1.43405,2.89884e-05,2.89884e-05,2.89884e-05
62,640.822,0.86454,0.97904,1.28774,0.83167,0.41657,0.52398,0.30381,1.7271,1.98153,1.43405,2.87529e-05,2.87529e-05,2.87529e-05
